m.missiontype	m.startyear	m.platform	m.missionnumber	f.serialnumber	c.catchsampleid	specimenid	individualproducttype	individualweight	individualvolume	lengthresolution	length	fat	fatpercent	sex	maturationstage	specialstage	eggstage	moultingstage	spawningfrequency	stomachfillfield	stomachfilllab	digestion	liver	liverparasite	gillworms	swollengills	fungusheart	fungusspores	fungusouter	blackspot	vertebraecount	agingstructureread	agingstructureweight	age	spawningage	spawningzones	readability	otolithtype	otolithedge	otolithcentre	calibration	growthzone1	growthzone2	growthzone3	growthzone4	growthzone5	growthzone6	growthzone7	growthzone8	growthzone9	growthzonestotal	coastalannuli	oceanicannuli	agereader	preferredagereading	tagid	tagtype	gonadweight	liverweight	stomachweight	diameter	mantlelength	carapacelength	headlength	snouttoendoftail	snouttoendsqueezed	snouttoanalfin	snouttodorsalfin	forklength	snouttoboneknob	lengthwithouthead	carapacewidth	rightclawwidth	rightclawlength	meroswidth	meroslength	japanesecut	abdomenwidth	tissuesamplenumber	individualcomment	cond
4	2019	LMEL	13	2569	14	28	1			2	0.165																																																																						
4	2019	LMEL	13	2569	14	29	1			2	0.18																																																																						
4	2019	LMEL	13	2569	14	30	1			2	0.17																																																																						
4	2019	LMEL	13	2569	14	31	1			2	0.18																																																																						
4	2019	LMEL	13	2569	15	1	1	0.005		2	0.085																							0			1		2																1																										0.7463556851311953
4	2019	LMEL	13	2569	15	2	1	0.011		2	0.105																																																																						0.8854566264605632
4	2019	LMEL	13	2569	15	3	1			2	0.085																																																																						
4	2019	LMEL	13	2569	15	4	1			2	0.085																																																																						
4	2019	LMEL	13	2569	15	5	1			2	0.07																																																																						
4	2019	LMEL	13	2569	15	6	1			2	0.08																																																																						
4	2019	LMEL	13	2569	15	7	1			2	0.09																																																																						
4	2019	LMEL	13	2569	15	8	1			2	0.085																																																																						
4	2019	LMEL	13	2569	15	9	1			2	0.085																																																																						
4	2019	LMEL	13	2569	15	10	1			2	0.09																																																																						
4	2019	LMEL	13	2569	15	11	1			2	0.065																																																																						
4	2019	LMEL	13	2569	15	12	1			2	0.08																																																																						
4	2019	LMEL	13	2569	15	13	1			2	0.085																																																																						
4	2019	LMEL	13	2569	15	14	1			2	0.085																																																																						
4	2019	LMEL	13	2569	15	15	1			2	0.085																																																																						
4	2019	LMEL	13	2569	15	16	1			2	0.06																																																																						
4	2019	LMEL	13	2569	16	1	1	0.56		2	0.365			2	2																																																																		1.128277679714581
4	2019	LMEL	13	2569	16	2	1	0.187		2	0.26			1	1																																																																		1.0338408379224706
4	2019	LMEL	13	2569	16	3	1	0.043		2	0.16																																																																						1.0020937642239416
4	2019	LMEL	13	2569	16	4	1	0.095		2	0.21			2	1																																																																		0.990026460411154
4	2019	LMEL	13	2569	16	5	1	0.025		2	0.135																																																																						0.9616829451540196
4	2019	LMEL	13	2569	16	6	1	0.756		2	0.405			2	1																																																																		1.1172206550047832
4	2019	LMEL	13	2569	16	7	1	0.433		2	0.33			2	1																																																																		1.1779122746093
4	2019	LMEL	13	2569	16	8	1			2	0.275																																																																						
4	2019	LMEL	13	2569	16	9	1			2	0.27																																																																						
4	2019	LMEL	13	2569	16	10	1			2	0.255																																																																						
4	2019	LMEL	13	2569	16	11	1			2	0.17																																																																						
4	2019	LMEL	13	2569	16	12	1			2	0.225																																																																						
4	2019	LMEL	13	2569	16	13	1			2	0.375																																																																						
4	2019	LMEL	13	2569	16	14	1			2	0.18																																																																						
4	2019	LMEL	13	2569	16	15	1			2	0.205																																																																						
4	2019	LMEL	13	2569	16	16	1			2	0.285																																																																						
4	2019	LMEL	13	2569	16	17	1			2	0.13																																																																						
4	2019	LMEL	13	2569	16	18	1			2	0.38																																																																						
4	2019	LMEL	13	2569	16	19	1			2	0.255																																																																						
4	2019	LMEL	13	2569	16	20	1			2	0.24																																																																						
4	2019	LMEL	13	2569	16	21	1			2	0.185																																																																						
4	2019	LMEL	13	2569	16	22	1			2	0.25																																																																						
4	2019	LMEL	13	2569	16	23	1			2	0.22																																																																						
